Sample	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	TOTAL
GB23_05_trim_R1	768269	1056945	1279091	1108215	903912	1440157	1510241	1146281	1418258	3343654	1160081	690200	203237	303719	184988	164165	348941	218740	174968	388327	776749	162441	109773	113511	79617	73792	125309	1245790	61,67565678
GB23_05_trim_R2	759182	956933	1256848	1187767	902597	1436936	1507565	1141006	1416657	3347979	1160116	695053	208326	316360	208076	172315	348022	220292	176656	389397	776983	164062	110066	112636	79555	74664	125363	1247959	61,9045077
GB23_06_trim_R1	780788	1032656	1256435	984339	919368	1156157	1530745	943808	1793656	2679972	1045020	626921	189160	327454	150818	107022	216304	150718	117739	272441	662913	150004	72646	72377	53683	44792	89218	833376	58,26978653
GB23_06_trim_R2	770577	970819	1233676	1026436	918499	1153825	1528720	938426	1793397	2683836	1045597	627574	197659	340574	174755	115855	215510	151671	118493	273157	663001	150621	72851	72220	53658	45113	89202	834808	58,49753348
GB23_08_trim_R1	849727	1275101	2051606	1646045	1455488	2097965	2452309	1582969	2627425	4055565	1775237	1276756	261259	376020	207825	178625	350924	221526	221769	426935	747430	243642	153430	143211	97394	82610	154519	1777110	60,14908187
GB23_08_trim_R2	836979	1144389	2016986	1747503	1454473	2094168	2450285	1575682	2626474	4060870	1776439	1279415	270482	392532	241887	195454	348549	222362	222749	427826	747670	244601	154406	143196	97437	83298	154703	1779607	60,37512007
GB23_11_trim_R1	990562	1241671	2137817	1215243	1165737	1368111	1990991	1317245	1991575	3467498	1215250	562580	277922	321864	136896	103283	156475	125432	115062	237769	617894	132635	62905	83191	59069	38112	60943	1201114	56,15890906
GB23_11_trim_R2	977297	1148215	2098233	1285455	1165482	1363824	1987831	1312136	1989508	3472075	1215614	562757	289291	338641	173887	118003	155225	125837	116140	238826	617991	133736	63426	82802	59056	38465	61004	1204089	56,43322508
GB23_12_trim_R1	1398744	1539627	2222141	1322200	773904	1057340	1439411	658115	923835	1505787	427356	276829	171068	130866	68960	58596	71495	57563	47663	100345	179255	58754	27346	32689	32936	17885	28633	279536	43,85021872
GB23_12_trim_R2	1380998	1371859	2181717	1459020	773085	1054336	1437148	655907	923306	1507934	427208	276392	188411	151595	109714	71940	70482	57736	48632	101125	179405	58999	27156	32530	33001	18094	28942	282207	44,34585156
GB23_14_trim_R1	1190231	1584668	2887952	1629832	1040295	1502051	2305471	1031406	1224568	2074659	763814	438546	327929	249158	110295	84822	102168	97138	66622	138757	295666	79255	38376	42099	46677	24624	32276	342356	46,44687744
GB23_14_trim_R2	1176377	1340832	2835433	1840476	1038910	1497749	2302869	1027521	1223711	2078392	763976	436412	345735	268746	160046	102984	100211	98045	67883	139507	295693	79818	37829	42442	46801	24746	32264	346303	46,90175044
GB23_16_trim_R1	977300	949891	1113404	976937	453478	1092516	1176232	623541	919951	1709185	471635	284556	98324	215064	84543	72714	116130	72591	48299	124328	226384	89113	43767	53620	46463	30173	73433	278172	50,36267492
GB23_16_trim_R2	966189	883582	1093356	1026944	452579	1091167	1174507	620949	919251	1712274	471231	284944	110435	226792	102967	79089	115312	72985	48842	124758	226625	89456	43881	53473	47124	29639	73465	279928	50,66538161
GB23_17_trim_R1	1165285	1326543	1773847	1796530	1080576	2305611	2437263	1202733	3462402	2332537	1158704	587056	185931	281016	119114	80334	148824	104561	103927	201721	443653	126366	88302	111253	85503	61976	75138	1163478	54,04798626
GB23_17_trim_R2	1152493	1094917	1744381	1996165	1078743	2302929	2435593	1198962	3460294	2336116	1159848	585391	203996	297882	146656	95671	147186	105219	104986	202545	444325	126907	88555	111168	86597	60984	75187	1166488	54,34857725
GB23_18_trim_R1	1319059	1347916	1654616	1466536	785260	1609683	1788704	987415	1541793	1942411	875567	520438	155193	238213	106701	87663	128838	90791	78171	146438	374987	105238	71352	75718	73147	50585	62222	544187	50,68546483
GB23_18_trim_R2	1305012	1135022	1629017	1648898	784498	1607807	1786616	983174	1541022	1945818	875768	520266	172202	254267	132647	100405	127416	91544	79068	147139	375206	105679	71625	75673	74317	49446	62228	547062	51,05182381
GB23_20_trim_R1	1288072	1654140	2989674	2210209	1183760	2601512	2854695	1494348	1647279	2978808	965371	801499	239705	357204	176747	140276	187892	136249	95487	203194	370820	118564	59966	81237	66238	49706	84548	580710	49,12796321
GB23_20_trim_R2	1271447	1435598	2938527	2393638	1182483	2599484	2851603	1489252	1645932	2983578	965304	803140	255527	377383	226784	157377	186464	136902	96439	203980	370873	119037	60289	81314	66848	49511	84606	584590	49,4743935
GB23_22_trim_R1	1142171	1187596	1548399	1343892	760687	1557267	1753800	910373	1850751	2076620	838533	459329	144565	201826	76728	58400	91183	61903	56134	108965	274728	80914	46713	52994	56965	36237	58852	441490	49,73738332
GB23_22_trim_R2	1130171	1003175	1523909	1503313	759732	1554616	1751262	906497	1849759	2080251	838863	458646	159972	216679	101045	68598	89243	62767	57226	109765	275334	81384	46658	52827	57378	35840	58834	444271	50,08099542
GB23_26_trim_R1	1116272	1347934	1713168	1992441	928305	2185818	2204860	1223022	1736209	2904508	988678	599228	187670	398450	156469	121324	191124	175489	104966	232849	570788	190643	111619	118233	103435	67575	81596	797740	54,00514195
